state;action_reward;n_state
|
25739&5|42620&5|1150&5|5978&5|42620&5|306&5|35710&5|60360&5|35710&5|58771&5|58518&5|16874&5;40442&5|58518&5|58771&5|16874&5;25739&5|42620&5|1150&5|5978&5|42620&5|306&5|35710&5|60360&5|35710&5|58771&5|58518&5|16874&5|40442&5|58518&5|58771&5|16874&5
55556&5|11005&5|33213&5|29227&5|52022&5|58722&5|33213&5|1297&5|39101&5|64845&5|26526&5|58113&5;58722&5|56618&5|26526&5|11005&5;55556&5|11005&5|33213&5|29227&5|52022&5|58722&5|33213&5|1297&5|39101&5|64845&5|26526&5|58113&5|58722&5|56618&5|26526&5|11005&5
62283&5|3933&5|32027&5|54807&5|9441&5|51180&5|57364&5|23554&5|62283&5|62396&5|16158&5|54305&5;27164&5|44442&5|62283&5|63306&5;62283&5|3933&5|32027&5|54807&5|9441&5|51180&5|57364&5|23554&5|62283&5|62396&5|16158&5|54305&5|27164&5|44442&5|62283&5|63306&5
245&5|32971&5|43595&5|11101&5|51574&5|39235&5|60699&5|41804&5|20886&5|32971&5|29132&5|51982&5;62634&5|17254&5|41899&5|47563&5;245&5|32971&5|43595&5|11101&5|51574&5|39235&5|60699&5|41804&5|20886&5|32971&5|29132&5|51982&5|62634&5|17254&5|41899&5|47563&5
45794&5|32893&5|26288&5|871&5|20121&5|28079&5|45794&5|35452&5|60485&5|35452&5|52995&5|35922&5;24625&5|9647&5|329&5|5978&5;45794&5|32893&5|26288&5|871&5|20121&5|28079&5|45794&5|35452&5|60485&5|35452&5|52995&5|35922&5|24625&5|9647&5|329&5|5978&5
54827&5|17474&5|14058&5|48665&5|60340&5|57582&5|477&5|57582&5|17474&5|9798&5|54086&5|54827&5;21383&5|62620&5|48665&5|57582&5;54827&5|17474&5|14058&5|48665&5|60340&5|57582&5|477&5|57582&5|17474&5|9798&5|54086&5|54827&5|21383&5|62620&5|48665&5|57582&5
52551&5|7327&5|52551&5|37920&5|7327&5|28296&5|21555&5|19620&5|57457&5|22471&5|25857&5|21555&5;37920&5|21555&5|52551&5|52551&5;52551&5|7327&5|52551&5|37920&5|7327&5|28296&5|21555&5|19620&5|57457&5|22471&5|25857&5|21555&5|37920&5|21555&5|52551&5|52551&5
12283&5|39949&5|26642&5|28257&5|44251&5|38675&5|15023&5|14842&5|37065&5|58006&5|26947&5|56011&5;26947&5|14206&5|55248&5|10663&5;12283&5|39949&5|26642&5|28257&5|44251&5|38675&5|15023&5|14842&5|37065&5|58006&5|26947&5|56011&5|26947&5|14206&5|55248&5|10663&5
46372&5|55556&5|1864&5|2018&5|29948&5|56694&5|34694&5|29948&5|18656&5|48276&5|37376&5|56694&5;54927&5|9003&5|46372&5|58933&5;46372&5|55556&5|1864&5|2018&5|29948&5|56694&5|34694&5|29948&5|18656&5|48276&5|37376&5|56694&5|54927&5|9003&5|46372&5|58933&5
19539&5|34678&5|49867&5|48276&5|37942&5|28068&5|24127&5|7442&5|23520&5|49175&5|63314&5|4370&5;28850&5|19495&5|22997&5|16850&5;19539&5|34678&5|49867&5|48276&5|37942&5|28068&5|24127&5|7442&5|23520&5|49175&5|63314&5|4370&5|28850&5|19495&5|22997&5|16850&5
5978&5|8448&5|27311&5|44086&5|54469&5|64928&5|58391&5|23912&5|39520&5|44399&5|42620&5|52473&5;27501&5|39235&5|6616&5|38593&5;5978&5|8448&5|27311&5|44086&5|54469&5|64928&5|58391&5|23912&5|39520&5|44399&5|42620&5|52473&5|27501&5|39235&5|6616&5|38593&5
40716&5|60702&5|16715&5|39634&5|50&5|14452&5|42989&5|16233&5|50&5|52551&5|46039&5|52551&5;32004&5|50&5|16715&5|36751&5;40716&5|60702&5|16715&5|39634&5|50&5|14452&5|42989&5|16233&5|50&5|52551&5|46039&5|52551&5|32004&5|50&5|16715&5|36751&5
43180&5|23094&5|596&5|58090&5|54933&5|52192&5|52875&5|42330&5|33384&5|54625&5|45729&5|3259&5;52551&5|18870&5|23958&5|45843&5;43180&5|23094&5|596&5|58090&5|54933&5|52192&5|52875&5|42330&5|33384&5|54625&5|45729&5|3259&5|52551&5|18870&5|23958&5|45843&5
49361&5|51619&5|27167&5|2306&5|61267&5|30867&5|42299&5|59440&5|54522&5|59823&5|61103&5|46826&5;60844&5|30303&5|49361&5|22081&5;49361&5|51619&5|27167&5|2306&5|61267&5|30867&5|42299&5|59440&5|54522&5|59823&5|61103&5|46826&5|60844&5|30303&5|49361&5|22081&5
59546&5|11005&5|43283&5|9808&5|4745&5|9317&5|31801&5|12048&5|8073&5|49597&5|31801&5|26320&5;6511&5|32683&5|9317&5|6643&5;59546&5|11005&5|43283&5|9808&5|4745&5|9317&5|31801&5|12048&5|8073&5|49597&5|31801&5|26320&5|6511&5|32683&5|9317&5|6643&5
16715&5|6023&5|64554&5|8763&5|51886&5|11231&5|16715&5|64554&5|6023&5|8763&5|64554&5|64554&5;848&5|24298&5|54359&5|16715&5;16715&5|6023&5|64554&5|8763&5|51886&5|11231&5|16715&5|64554&5|6023&5|8763&5|64554&5|64554&5|848&5|24298&5|54359&5|16715&5
